Embedding,isolated_labels,nmi_ari_cluster_labels_kmeans_nmi,nmi_ari_cluster_labels_kmeans_ari,silhouette_label,clisi_knn,silhouette_batch_b,ilisi_knn_b,kbet_per_label_b,pcr_comparison_b,silhouette_batch_m,ilisi_knn_m,kbet_per_label_m,graph_connectivity,pcr_comparison_m,Batch correction,Bio conservation,Modality integration,Total
scMIGRA-v1::Shared,0.2740669549895891,0.11987219472137944,1.0,1.0,1.0,0.07417530786159432,0.00910955679601777,0.0,0.0,0.08776764562320183,0.0,0.12496475897275122,0.02340267483683478,0.6191636794106552,0.020821216164403022,0.6787878299421937,0.17105975176868862,0.329079422356805
scMIGRA-v1::SharedSpecific,1.0,1.0,0.2953505245919672,0.9624302607574009,0.0,0.9999999999999991,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.7499999999999998,0.6515561570698736,0.8,0.7256224628279493
scMIGRA-v1::Programs,0.0,0.0,0.0,0.0,0.9909608182080092,0.0,0.0,0.004316215688220604,0.0,0.0,0.0,0.0,0.0,0.0,0.001079053922055151,0.19819216364160183,0.0,0.07960058163325728
Metric Type,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Batch correction,Batch correction,Batch correction,Batch correction,Modality integration,Modality integration,Modality integration,Modality integration,Modality integration,Aggregate score,Aggregate score,Aggregate score,Aggregate score
Metric Name,isolated_labels,nmi_ari_cluster_labels_kmeans_nmi,nmi_ari_cluster_labels_kmeans_ari,silhouette_label,clisi_knn,silhouette_batch_b,ilisi_knn_b,kbet_per_label_b,pcr_comparison_b,silhouette_batch_m,ilisi_knn_m,kbet_per_label_m,graph_connectivity,pcr_comparison_m,Batch correction,Bio conservation,Modality integration,Total
