===== scMIGRA-v1 training started at Wed Mar 18 15:24:39 CST 2026 =====
[MIGRA_CONFIG] random_seed=20260318
[MIGRA_CONFIG] modality_key=modality, batch_key=batch
[MIGRA_CONFIG] input_layer=counts
[MIGRA_CONFIG] detected label key 'cell_type', but scMIGRA training keeps it out of the model to remain label-free.
[MIGRA_CONFIG] hidden_layers= [256, 128]
[MIGRA_CONFIG] latent_shared=20, latent_specific=16, latent_tech=8, num_programs=32, dropout=0.2
[MIGRA_CONFIG] beta_mod=1.0, beta_tech=1.0, lambda_program=1.0, lambda_transport=0.8, lambda_cycle=0.4, lambda_batch_ind=0.1
[MIGRA_CONFIG] anchor_topk=2, local_k=6, score_quantile=0.75, max_anchors=24, temp=0.2, profile_w=0.5, graph_w=0.5, cross_batch_bonus=0.05
[MIGRA_CONFIG] epoch_num=100, batch_size=128, lr=0.001, adaptlr=True, warmup_epochs=10, early_stopping=False, valid_prop=0.0, distribution=ZINB
using cuda
Training start!
epoch 30: loss=3343.6758, recon=3336.0617, kl_mod=2.6879, kl_tech=4.4947, program=0.3945, transport=0.0445, cycle=0.0022, batch_ind=0.0056, anchor_cov=0.033
epoch 31: loss=3342.9985, recon=3335.4175, kl_mod=2.6725, kl_tech=4.4770, program=0.3954, transport=0.0435, cycle=0.0021, batch_ind=0.0055, anchor_cov=0.033
epoch 32: loss=3342.2447, recon=3334.6680, kl_mod=2.6605, kl_tech=4.4823, program=0.3981, transport=0.0432, cycle=0.0021, batch_ind=0.0052, anchor_cov=0.034
epoch 33: loss=3342.0802, recon=3334.5513, kl_mod=2.6349, kl_tech=4.4614, program=0.3987, transport=0.0406, cycle=0.0021, batch_ind=0.0054, anchor_cov=0.034
epoch 34: loss=3341.5422, recon=3333.9649, kl_mod=2.6474, kl_tech=4.4971, program=0.4007, transport=0.0385, cycle=0.0021, batch_ind=0.0053, anchor_cov=0.035
epoch 35: loss=3341.0030, recon=3333.4742, kl_mod=2.6361, kl_tech=4.4598, program=0.4000, transport=0.0395, cycle=0.0019, batch_ind=0.0054, anchor_cov=0.035
epoch 36: loss=3341.4953, recon=3333.9274, kl_mod=2.6491, kl_tech=4.4862, program=0.4007, transport=0.0382, cycle=0.0020, batch_ind=0.0054, anchor_cov=0.036
epoch 37: loss=3340.9758, recon=3333.4105, kl_mod=2.6436, kl_tech=4.4859, program=0.4037, transport=0.0384, cycle=0.0020, batch_ind=0.0053, anchor_cov=0.036
epoch 38: loss=3340.3852, recon=3332.7949, kl_mod=2.6476, kl_tech=4.5059, program=0.4066, transport=0.0363, cycle=0.0019, batch_ind=0.0051, anchor_cov=0.036
epoch 39: loss=3339.7980, recon=3332.2514, kl_mod=2.6210, kl_tech=4.4891, program=0.4063, transport=0.0360, cycle=0.0020, batch_ind=0.0052, anchor_cov=0.036
epoch 40: loss=3340.5063, recon=3332.9161, kl_mod=2.6463, kl_tech=4.5053, program=0.4075, transport=0.0373, cycle=0.0021, batch_ind=0.0052, anchor_cov=0.036
epoch 41: loss=3339.8864, recon=3332.3132, kl_mod=2.6522, kl_tech=4.4818, program=0.4075, transport=0.0380, cycle=0.0020, batch_ind=0.0051, anchor_cov=0.035
epoch 42: loss=3339.0869, recon=3331.4795, kl_mod=2.6489, kl_tech=4.5192, program=0.4105, transport=0.0343, cycle=0.0019, batch_ind=0.0050, anchor_cov=0.036
epoch 43: loss=3338.5465, recon=3330.9764, kl_mod=2.6330, kl_tech=4.4942, program=0.4134, transport=0.0352, cycle=0.0019, batch_ind=0.0049, anchor_cov=0.036
epoch 44: loss=3338.0977, recon=3330.4880, kl_mod=2.6759, kl_tech=4.4878, program=0.4163, transport=0.0356, cycle=0.0020, batch_ind=0.0049, anchor_cov=0.036
epoch 45: loss=3338.2112, recon=3330.6207, kl_mod=2.6680, kl_tech=4.4757, program=0.4175, transport=0.0349, cycle=0.0020, batch_ind=0.0048, anchor_cov=0.036
epoch 46: loss=3337.6106, recon=3330.0136, kl_mod=2.6856, kl_tech=4.4607, program=0.4197, transport=0.0370, cycle=0.0020, batch_ind=0.0047, anchor_cov=0.036
epoch 47: loss=3337.1977, recon=3329.5543, kl_mod=2.7055, kl_tech=4.4886, program=0.4203, transport=0.0345, cycle=0.0020, batch_ind=0.0048, anchor_cov=0.036
epoch 48: loss=3337.1037, recon=3329.4715, kl_mod=2.7220, kl_tech=4.4601, program=0.4207, transport=0.0351, cycle=0.0020, batch_ind=0.0047, anchor_cov=0.036
epoch 49: loss=3336.7486, recon=3329.0813, kl_mod=2.7309, kl_tech=4.4827, program=0.4237, transport=0.0359, cycle=0.0020, batch_ind=0.0047, anchor_cov=0.035
