WithinRunRank,Timestamp,Tag,InputH5AD,Method,EmbeddingLabel,EmbeddingSpec,BatchKey,ModalityKey,LabelKey,Total,Bio conservation,Batch correction,Modality integration,Total scaled,Bio conservation scaled,Batch correction scaled,Modality integration scaled,Silhouette label,Silhouette batch,Silhouette modality,iLISI batch,iLISI modality,Graph connectivity
1,2026-03-18T17:38:07+08:00,muto_migra_v1,/home/u202532803066/YGJY/MRDR_1/src/scMIGRA/out/muto_migra_v1.h5ad,scMIGRA-v1::SharedSpecific,SharedSpecific,concat:latent_shared+latent_specific,batch,modality,cell_type,0.49875284055559554,0.5590130805969238,0.471698646000024,0.44546004838939635,0.7256224628279493,0.6515561570698736,0.7499999999999998,0.8,0.5198134183883667,0.9513342380523682,0.7531336545944214,0.49765241146087646,0.0,0.6303029265894288
2,2026-03-18T17:38:07+08:00,muto_migra_v1,/home/u202532803066/YGJY/MRDR_1/src/scMIGRA/out/muto_migra_v1.h5ad,scMIGRA-v1::Shared,Shared,latent_shared,batch,modality,cell_type,0.42783648048723755,0.5504517555236816,0.3726255947577393,0.3195603328348103,0.329079422356805,0.6787878299421937,0.020821216164403022,0.17105975176868862,0.5203203558921814,0.8470972776412964,0.402739942073822,0.42739737033843994,0.0,0.4589226166891199
3,2026-03-18T17:38:07+08:00,muto_migra_v1,/home/u202532803066/YGJY/MRDR_1/src/scMIGRA/out/muto_migra_v1.h5ad,scMIGRA-v1::Programs,Programs,program_assignments,batch,modality,cell_type,0.4120797992574001,0.5426677703857422,0.37061562865728026,0.27942667501973056,0.07960058163325728,0.19819216364160183,0.001079053922055151,0.0,0.5068271160125732,0.8387460112571716,0.36902788281440735,0.4267514944076538,0.0,0.4548157472940365
